 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in  H- C.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    9.774E-01  8.185E+00       2 A         1 A         1 A   
    1.2 eV    9.774E-01  8.618E+00       2 A         1 A         1 A   
    1.3 eV    1.017E+00  9.035E+00       2 A         1 A         1 A   
    1.4 eV    1.056E+00  9.437E+00       2 A         1 A         1 A   
    1.5 eV    1.093E+00  9.826E+00       2 A         1 A         1 A   
    1.6 eV    1.129E+00  1.020E+01       2 A         1 A         1 A   
    1.7 eV    1.163E+00  1.057E+01       2 A         1 A         1 A   
    1.8 eV    1.197E+00  1.092E+01       2 A         1 A         1 A   
      2 eV    1.262E+00  1.160E+01       2 A         1 A         1 A   
   2.25 eV    1.338E+00  1.241E+01       2 A         1 A         1 A   
2.49999 eV    1.411E+00  1.317E+01       2 A         1 A         1 A   
2.74999 eV    1.480E+00  1.389E+01       3 A         1 A         1 A   
2.99999 eV    1.545E+00  1.459E+01       3 A         1 A         1 A   
3.24999 eV    1.609E+00  1.525E+01       3 A         1 A         1 A   
3.49999 eV    1.669E+00  1.588E+01       3 A         1 A         1 A   
3.74999 eV    1.728E+00  1.649E+01       3 A         2 A         1 A   
3.99999 eV    1.785E+00  1.708E+01       3 A         2 A         1 A   
4.49999 eV    1.893E+00  1.820E+01       3 A         2 A         1 A   
4.99999 eV    1.995E+00  1.926E+01       3 A         2 A         1 A   
5.49999 eV    2.093E+00  2.025E+01       3 A         2 A         1 A   
