 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Silicon.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    1.033E+00  4.279E+00       1 A         1 A         1 A   
    1.2 eV    1.033E+00  4.518E+00       1 A         1 A         1 A   
    1.3 eV    1.075E+00  4.750E+00       2 A         1 A         1 A   
    1.4 eV    1.116E+00  4.974E+00       2 A         1 A         1 A   
    1.5 eV    1.155E+00  5.191E+00       2 A         2 A         1 A   
    1.6 eV    1.193E+00  5.401E+00       2 A         2 A         1 A   
    1.7 eV    1.230E+00  5.607E+00       2 A         2 A         1 A   
    1.8 eV    1.266E+00  5.807E+00       2 A         2 A         1 A   
      2 eV    1.334E+00  6.192E+00       2 A         2 A         1 A   
   2.25 eV    1.415E+00  6.651E+00       2 A         2 A         1 A   
2.49999 eV    1.491E+00  7.088E+00       2 A         2 A         2 A   
2.74999 eV    1.564E+00  7.505E+00       2 A         2 A         2 A   
2.99999 eV    1.634E+00  7.904E+00       2 A         2 A         2 A   
3.24999 eV    1.700E+00  8.289E+00       2 A         2 A         2 A   
3.49999 eV    1.765E+00  8.660E+00       2 A         2 A         2 A   
3.74999 eV    1.827E+00  9.018E+00       2 A         2 A         2 A   
3.99999 eV    1.887E+00  9.366E+00       2 A         2 A         2 A   
4.49999 eV    2.001E+00  1.003E+01       3 A         3 A         2 A   
4.99999 eV    2.109E+00  1.066E+01       3 A         3 A         2 A   
5.49999 eV    2.212E+00  1.126E+01       3 A         3 A         2 A   
