 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 21, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Polyethylene.txt

 Ion = Krypton [36] , Mass = 82.914 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    9.774E-01  5.440E+00       3 A         1 A           A   
    1.2 eV    9.774E-01  5.778E+00       3 A         1 A           A   
    1.3 eV    1.017E+00  6.106E+00       4 A         1 A           A   
    1.4 eV    1.056E+00  6.426E+00       4 A         1 A           A   
    1.5 eV    1.093E+00  6.739E+00       4 A         1 A           A   
    1.6 eV    1.129E+00  7.044E+00       4 A         1 A           A   
    1.7 eV    1.163E+00  7.342E+00       4 A         1 A           A   
    1.8 eV    1.197E+00  7.635E+00       4 A         1 A           A   
      2 eV    1.262E+00  8.204E+00       4 A         1 A         1 A   
   2.25 eV    1.338E+00  8.888E+00       5 A         1 A         1 A   
2.49999 eV    1.411E+00  9.545E+00       5 A         1 A         1 A   
2.74999 eV    1.480E+00  1.018E+01       5 A         1 A         1 A   
2.99999 eV    1.545E+00  1.079E+01       5 A         1 A         1 A   
3.24999 eV    1.608E+00  1.139E+01       5 A         1 A         1 A   
3.49999 eV    1.669E+00  1.197E+01       5 A         1 A         1 A   
3.74999 eV    1.728E+00  1.253E+01       6 A         1 A         1 A   
3.99999 eV    1.784E+00  1.308E+01       6 A         1 A         1 A   
4.49999 eV    1.893E+00  1.414E+01       6 A         1 A         1 A   
4.99999 eV    1.995E+00  1.516E+01       6 A         1 A         1 A   
5.49999 eV    2.092E+00  1.615E+01       7 A         1 A         1 A   
