 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in Aluminum.txt

 Ion = Molybdenum [42] , Mass = 93.905 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    8.327E-01  8.069E+00       2 A         1 A         1 A   
    1.2 eV    8.327E-01  8.578E+00       2 A         1 A         1 A   
    1.3 eV    8.667E-01  9.073E+00       2 A         1 A         1 A   
    1.4 eV    8.995E-01  9.556E+00       2 A         1 A         1 A   
    1.5 eV    9.310E-01  1.003E+01       2 A         1 A         1 A   
    1.6 eV    9.616E-01  1.049E+01       2 A         1 A         1 A   
    1.7 eV    9.912E-01  1.094E+01       2 A         1 A         1 A   
    1.8 eV    1.020E+00  1.138E+01       2 A         1 A         1 A   
      2 eV    1.075E+00  1.225E+01       3 A         1 A         1 A   
   2.25 eV    1.140E+00  1.329E+01       3 A         1 A         1 A   
2.49999 eV    1.202E+00  1.429E+01       3 A         1 A         1 A   
2.74999 eV    1.261E+00  1.525E+01       3 A         1 A         1 A   
2.99999 eV    1.317E+00  1.619E+01       3 A         1 A         1 A   
3.24999 eV    1.370E+00  1.710E+01       3 A         1 A         1 A   
3.49999 eV    1.422E+00  1.798E+01       3 A         1 A         1 A   
3.74999 eV    1.472E+00  1.885E+01       3 A         1 A         1 A   
3.99999 eV    1.520E+00  1.969E+01       3 A         1 A         1 A   
4.49999 eV    1.613E+00  2.132E+01       4 A         1 A         1 A   
4.99999 eV    1.700E+00  2.289E+01       4 A         1 A         1 A   
5.49999 eV    1.783E+00  2.441E+01       4 A         1 A         1 A   
