 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in  H- C.txt

 Ion = Strontium [38] , Mass = 95.923 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    5.989E-01  5.037E+00       4 A         1 A           A   
    1.2 eV    5.989E-01  5.352E+00       4 A         1 A           A   
    1.3 eV    6.234E-01  5.658E+00       4 A         1 A           A   
    1.4 eV    6.469E-01  5.956E+00       4 A         1 A           A   
    1.5 eV    6.696E-01  6.247E+00       4 A         1 A           A   
    1.6 eV    6.916E-01  6.532E+00       4 A         1 A           A   
    1.7 eV    7.129E-01  6.811E+00       5 A         1 A           A   
    1.8 eV    7.335E-01  7.084E+00       5 A         1 A         1 A   
      2 eV    7.732E-01  7.615E+00       5 A         1 A         1 A   
   2.25 eV    8.201E-01  8.254E+00       5 A         1 A         1 A   
2.49999 eV    8.645E-01  8.868E+00       5 A         1 A         1 A   
2.74999 eV    9.067E-01  9.461E+00       6 A         1 A         1 A   
2.99999 eV    9.470E-01  1.004E+01       6 A         1 A         1 A   
3.24999 eV    9.856E-01  1.059E+01       6 A         1 A         1 A   
3.49999 eV    1.023E+00  1.114E+01       6 A         1 A         1 A   
3.74999 eV    1.059E+00  1.166E+01       6 A         1 A         1 A   
3.99999 eV    1.093E+00  1.218E+01       7 A         1 A         1 A   
4.49999 eV    1.160E+00  1.318E+01       7 A         1 A         1 A   
4.99999 eV    1.223E+00  1.413E+01       7 A         2 A         1 A   
5.49999 eV    1.282E+00  1.506E+01       8 A         2 A         1 A   
