 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 14, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Silicon.txt

 Ion = Hydrogen [1] , Mass = 2.014 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.028E-01  7.052E-01       2 A         4 A         3 A   
    1.2 eV    6.028E-01  7.393E-01       2 A         4 A         3 A   
    1.3 eV    6.274E-01  7.719E-01       2 A         4 A         3 A   
    1.4 eV    6.511E-01  8.031E-01       2 A         4 A         3 A   
    1.5 eV    6.740E-01  8.330E-01       2 A         4 A         3 A   
    1.6 eV    6.961E-01  8.619E-01       2 A         5 A         3 A   
    1.7 eV    7.175E-01  8.898E-01       2 A         5 A         3 A   
    1.8 eV    7.383E-01  9.167E-01       3 A         5 A         3 A   
      2 eV    7.782E-01  9.681E-01       3 A         5 A         4 A   
   2.25 eV    8.254E-01  1.028E+00       3 A         5 A         4 A   
2.49999 eV    8.701E-01  1.084E+00       3 A         6 A         4 A   
2.74999 eV    9.125E-01  1.137E+00       3 A         6 A         4 A   
2.99999 eV    9.531E-01  1.187E+00       3 A         6 A         5 A   
3.24999 eV    9.920E-01  1.235E+00       3 A         7 A         5 A   
3.49999 eV    1.029E+00  1.280E+00       3 A         7 A         5 A   
3.74999 eV    1.066E+00  1.323E+00       4 A         7 A         5 A   
3.99999 eV    1.101E+00  1.365E+00       4 A         7 A         5 A   
4.49999 eV    1.167E+00  1.442E+00       4 A         8 A         6 A   
4.99999 eV    1.230E+00  1.515E+00       4 A         8 A         6 A   
5.49999 eV    1.291E+00  1.582E+00       4 A         9 A         6 A   
