 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 05, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Silicon.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    5.872E-01  1.566E+00       2 A         3 A         2 A   
    1.2 eV    5.872E-01  1.647E+00       2 A         3 A         2 A   
    1.3 eV    6.112E-01  1.724E+00       2 A         3 A         2 A   
    1.4 eV    6.343E-01  1.799E+00       2 A         3 A         2 A   
    1.5 eV    6.565E-01  1.871E+00       2 A         3 A         2 A   
    1.6 eV    6.781E-01  1.940E+00       2 A         3 A         2 A   
    1.7 eV    6.989E-01  2.008E+00       2 A         3 A         2 A   
    1.8 eV    7.192E-01  2.073E+00       2 A         3 A         2 A   
      2 eV    7.581E-01  2.198E+00       2 A         4 A         3 A   
   2.25 eV    8.041E-01  2.346E+00       2 A         4 A         3 A   
2.49999 eV    8.476E-01  2.485E+00       2 A         4 A         3 A   
2.74999 eV    8.889E-01  2.617E+00       3 A         4 A         3 A   
2.99999 eV    9.285E-01  2.742E+00       3 A         4 A         3 A   
3.24999 eV    9.664E-01  2.861E+00       3 A         4 A         3 A   
3.49999 eV    1.003E+00  2.976E+00       3 A         5 A         3 A   
3.74999 eV    1.038E+00  3.086E+00       3 A         5 A         3 A   
3.99999 eV    1.072E+00  3.192E+00       3 A         5 A         4 A   
4.49999 eV    1.137E+00  3.393E+00       3 A         5 A         4 A   
4.99999 eV    1.199E+00  3.581E+00       3 A         6 A         4 A   
5.49999 eV    1.257E+00  3.758E+00       4 A         6 A         4 A   
