 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 14, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in  H- C.txt

 Ion = Krypton [36] , Mass = 81.913 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    9.833E-01  5.476E+00       3 A         1 A           A   
    1.2 eV    9.833E-01  5.816E+00       3 A         1 A           A   
    1.3 eV    1.023E+00  6.146E+00       3 A         1 A           A   
    1.4 eV    1.062E+00  6.468E+00       4 A         1 A           A   
    1.5 eV    1.099E+00  6.782E+00       4 A         1 A           A   
    1.6 eV    1.135E+00  7.089E+00       4 A         1 A           A   
    1.7 eV    1.170E+00  7.390E+00       4 A         1 A           A   
    1.8 eV    1.204E+00  7.684E+00       4 A         1 A           A   
      2 eV    1.269E+00  8.257E+00       4 A         1 A         1 A   
   2.25 eV    1.346E+00  8.944E+00       4 A         1 A         1 A   
2.49999 eV    1.419E+00  9.606E+00       5 A         1 A         1 A   
2.74999 eV    1.489E+00  1.024E+01       5 A         1 A         1 A   
2.99999 eV    1.555E+00  1.086E+01       5 A         1 A         1 A   
3.24999 eV    1.618E+00  1.146E+01       5 A         1 A         1 A   
3.49999 eV    1.679E+00  1.204E+01       5 A         1 A         1 A   
3.74999 eV    1.738E+00  1.261E+01       6 A         1 A         1 A   
3.99999 eV    1.795E+00  1.316E+01       6 A         1 A         1 A   
4.49999 eV    1.904E+00  1.423E+01       6 A         1 A         1 A   
4.99999 eV    2.007E+00  1.526E+01       6 A         1 A         1 A   
5.49999 eV    2.105E+00  1.625E+01       7 A         1 A         1 A   
