 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in  H- C.txt

 Ion = Molybdenum [42] , Mass = 95.905 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.021E-01  5.064E+00       4 A         1 A           A   
    1.2 eV    6.021E-01  5.382E+00       4 A         1 A           A   
    1.3 eV    6.266E-01  5.690E+00       4 A         1 A           A   
    1.4 eV    6.503E-01  5.991E+00       4 A         1 A           A   
    1.5 eV    6.731E-01  6.285E+00       4 A         1 A           A   
    1.6 eV    6.952E-01  6.573E+00       4 A         1 A           A   
    1.7 eV    7.166E-01  6.854E+00       5 A         1 A           A   
    1.8 eV    7.374E-01  7.130E+00       5 A         1 A         1 A   
      2 eV    7.773E-01  7.666E+00       5 A         1 A         1 A   
   2.25 eV    8.244E-01  8.312E+00       5 A         1 A         1 A   
2.49999 eV    8.690E-01  8.933E+00       5 A         1 A         1 A   
2.74999 eV    9.114E-01  9.532E+00       6 A         1 A         1 A   
2.99999 eV    9.519E-01  1.011E+01       6 A         1 A         1 A   
3.24999 eV    9.908E-01  1.068E+01       6 A         1 A         1 A   
3.49999 eV    1.028E+00  1.123E+01       6 A         1 A         1 A   
3.74999 eV    1.064E+00  1.176E+01       6 A         1 A         1 A   
3.99999 eV    1.099E+00  1.228E+01       7 A         1 A         1 A   
4.49999 eV    1.166E+00  1.329E+01       7 A         1 A         1 A   
4.99999 eV    1.229E+00  1.426E+01       7 A         2 A         1 A   
5.49999 eV    1.289E+00  1.520E+01       7 A         2 A         1 A   
