 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- C.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    7.070E-01  2.499E+00       1 A         2 A         1 A   
    1.2 eV    7.070E-01  2.587E+00       1 A         2 A         1 A   
    1.3 eV    7.358E-01  2.670E+00       2 A         2 A         1 A   
    1.4 eV    7.636E-01  2.747E+00       2 A         2 A         2 A   
    1.5 eV    7.904E-01  2.820E+00       2 A         2 A         2 A   
    1.6 eV    8.163E-01  2.889E+00       2 A         2 A         2 A   
    1.7 eV    8.414E-01  2.955E+00       2 A         2 A         2 A   
    1.8 eV    8.658E-01  3.017E+00       2 A         2 A         2 A   
      2 eV    9.127E-01  3.134E+00       2 A         3 A         2 A   
   2.25 eV    9.680E-01  3.266E+00       2 A         3 A         2 A   
2.49999 eV    1.020E+00  3.385E+00       3 A         3 A         2 A   
2.74999 eV    1.070E+00  3.494E+00       3 A         3 A         2 A   
2.99999 eV    1.118E+00  3.594E+00       3 A         3 A         2 A   
3.24999 eV    1.163E+00  3.686E+00       3 A         3 A         2 A   
3.49999 eV    1.207E+00  3.772E+00       3 A         4 A         3 A   
3.74999 eV    1.250E+00  3.852E+00       3 A         4 A         3 A   
3.99999 eV    1.291E+00  3.927E+00       3 A         4 A         3 A   
4.49999 eV    1.369E+00  4.063E+00       4 A         4 A         3 A   
4.99999 eV    1.443E+00  4.184E+00       4 A         4 A         3 A   
