 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Silicon.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    8.388E-01  3.720E-01       2 A         4 A         3 A   
    1.2 eV    8.388E-01  3.899E-01       2 A         4 A         3 A   
    1.3 eV    8.730E-01  4.070E-01       2 A         4 A         3 A   
    1.4 eV    9.060E-01  4.234E-01       2 A         4 A         3 A   
    1.5 eV    9.378E-01  4.392E-01       2 A         5 A         3 A   
    1.6 eV    9.685E-01  4.543E-01       2 A         5 A         3 A   
    1.7 eV    9.983E-01  4.690E-01       2 A         5 A         3 A   
    1.8 eV    1.027E+00  4.831E-01       2 A         5 A         4 A   
      2 eV    1.083E+00  5.101E-01       3 A         5 A         4 A   
   2.25 eV    1.149E+00  5.417E-01       3 A         6 A         4 A   
2.49999 eV    1.211E+00  5.712E-01       3 A         6 A         4 A   
2.74999 eV    1.270E+00  5.989E-01       3 A         6 A         4 A   
2.99999 eV    1.326E+00  6.252E-01       3 A         7 A         5 A   
3.24999 eV    1.380E+00  6.501E-01       3 A         7 A         5 A   
3.49999 eV    1.432E+00  6.738E-01       3 A         7 A         5 A   
3.74999 eV    1.483E+00  6.964E-01       3 A         7 A         5 A   
3.99999 eV    1.531E+00  7.180E-01       4 A         8 A         5 A   
4.49999 eV    1.624E+00  7.588E-01       4 A         8 A         6 A   
4.99999 eV    1.712E+00  7.966E-01       4 A         8 A         6 A   
5.49999 eV    1.796E+00  8.320E-01       4 A         9 A         6 A   
