 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in  H- C.txt

 Ion = Rubidium [37] , Mass = 95.934 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    5.794E-01  5.030E+00       4 A         1 A           A   
    1.2 eV    5.794E-01  5.343E+00       4 A         1 A           A   
    1.3 eV    6.031E-01  5.649E+00       4 A         1 A           A   
    1.4 eV    6.259E-01  5.946E+00       4 A         1 A           A   
    1.5 eV    6.478E-01  6.237E+00       4 A         1 A           A   
    1.6 eV    6.691E-01  6.520E+00       4 A         1 A           A   
    1.7 eV    6.897E-01  6.798E+00       5 A         1 A           A   
    1.8 eV    7.097E-01  7.071E+00       5 A         1 A         1 A   
      2 eV    7.480E-01  7.600E+00       5 A         1 A         1 A   
   2.25 eV    7.934E-01  8.237E+00       5 A         1 A         1 A   
2.49999 eV    8.363E-01  8.850E+00       5 A         1 A         1 A   
2.74999 eV    8.772E-01  9.441E+00       6 A         1 A         1 A   
2.99999 eV    9.162E-01  1.001E+01       6 A         1 A         1 A   
3.24999 eV    9.536E-01  1.057E+01       6 A         1 A         1 A   
3.49999 eV    9.896E-01  1.111E+01       6 A         1 A         1 A   
3.74999 eV    1.024E+00  1.164E+01       6 A         1 A         1 A   
3.99999 eV    1.058E+00  1.215E+01       7 A         1 A         1 A   
4.49999 eV    1.122E+00  1.314E+01       7 A         1 A         1 A   
4.99999 eV    1.183E+00  1.410E+01       7 A         2 A         1 A   
5.49999 eV    1.240E+00  1.502E+01       8 A         2 A         1 A   
