 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- C.txt

 Ion = Hydrogen [1] , Mass = 3.016 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    4.087E-01  4.162E+00       2 A         2 A         1 A   
    1.2 eV    4.087E-01  4.325E+00       2 A         2 A         1 A   
    1.3 eV    4.254E-01  4.478E+00       2 A         2 A         1 A   
    1.4 eV    4.414E-01  4.622E+00       2 A         2 A         1 A   
    1.5 eV    4.569E-01  4.759E+00       2 A         2 A         1 A   
    1.6 eV    4.719E-01  4.890E+00       2 A         2 A         1 A   
    1.7 eV    4.865E-01  5.014E+00       2 A         2 A         1 A   
    1.8 eV    5.006E-01  5.133E+00       2 A         2 A         1 A   
      2 eV    5.276E-01  5.356E+00       3 A         2 A         2 A   
   2.25 eV    5.596E-01  5.612E+00       3 A         2 A         2 A   
2.49999 eV    5.899E-01  5.846E+00       3 A         2 A         2 A   
2.74999 eV    6.187E-01  6.061E+00       3 A         3 A         2 A   
2.99999 eV    6.462E-01  6.261E+00       3 A         3 A         2 A   
3.24999 eV    6.726E-01  6.446E+00       3 A         3 A         2 A   
3.49999 eV    6.980E-01  6.620E+00       4 A         3 A         2 A   
3.74999 eV    7.225E-01  6.784E+00       4 A         3 A         2 A   
3.99999 eV    7.462E-01  6.938E+00       4 A         3 A         2 A   
4.49999 eV    7.914E-01  7.222E+00       4 A         3 A         2 A   
4.99999 eV    8.343E-01  7.478E+00       4 A         4 A         3 A   
