 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Silicon.txt

 Ion = Hydrogen [1] , Mass = 3.016 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    4.849E-01  1.004E+00       2 A         4 A         3 A   
    1.2 eV    4.849E-01  1.053E+00       2 A         4 A         3 A   
    1.3 eV    5.047E-01  1.099E+00       2 A         4 A         3 A   
    1.4 eV    5.238E-01  1.144E+00       2 A         4 A         3 A   
    1.5 eV    5.421E-01  1.187E+00       2 A         4 A         3 A   
    1.6 eV    5.599E-01  1.228E+00       2 A         4 A         3 A   
    1.7 eV    5.772E-01  1.268E+00       3 A         4 A         3 A   
    1.8 eV    5.939E-01  1.306E+00       3 A         5 A         3 A   
      2 eV    6.260E-01  1.380E+00       3 A         5 A         3 A   
   2.25 eV    6.640E-01  1.465E+00       3 A         5 A         4 A   
2.49999 eV    6.999E-01  1.546E+00       3 A         5 A         4 A   
2.74999 eV    7.341E-01  1.622E+00       3 A         6 A         4 A   
2.99999 eV    7.667E-01  1.693E+00       3 A         6 A         4 A   
3.24999 eV    7.980E-01  1.761E+00       3 A         6 A         4 A   
3.49999 eV    8.281E-01  1.826E+00       4 A         6 A         5 A   
3.74999 eV    8.572E-01  1.888E+00       4 A         7 A         5 A   
3.99999 eV    8.853E-01  1.947E+00       4 A         7 A         5 A   
4.49999 eV    9.390E-01  2.059E+00       4 A         7 A         5 A   
4.99999 eV    9.898E-01  2.162E+00       4 A         8 A         5 A   
5.49999 eV    1.038E+00  2.259E+00       5 A         8 A         6 A   
