 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in Aluminum.txt

 Ion = Rubidium [37] , Mass = 95.934 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    7.930E-01  7.935E+00       2 A         1 A         1 A   
    1.2 eV    7.930E-01  8.434E+00       2 A         1 A         1 A   
    1.3 eV    8.254E-01  8.919E+00       2 A         1 A         1 A   
    1.4 eV    8.566E-01  9.392E+00       2 A         1 A         1 A   
    1.5 eV    8.866E-01  9.854E+00       2 A         1 A         1 A   
    1.6 eV    9.157E-01  1.031E+01       2 A         1 A         1 A   
    1.7 eV    9.439E-01  1.075E+01       2 A         1 A         1 A   
    1.8 eV    9.713E-01  1.118E+01       3 A         1 A         1 A   
      2 eV    1.024E+00  1.203E+01       3 A         1 A         1 A   
   2.25 eV    1.086E+00  1.304E+01       3 A         1 A         1 A   
2.49999 eV    1.145E+00  1.402E+01       3 A         1 A         1 A   
2.74999 eV    1.201E+00  1.497E+01       3 A         1 A         1 A   
2.99999 eV    1.254E+00  1.588E+01       3 A         1 A         1 A   
3.24999 eV    1.305E+00  1.677E+01       3 A         1 A         1 A   
3.49999 eV    1.354E+00  1.763E+01       3 A         1 A         1 A   
3.74999 eV    1.402E+00  1.848E+01       3 A         1 A         1 A   
3.99999 eV    1.448E+00  1.930E+01       4 A         1 A         1 A   
4.49999 eV    1.536E+00  2.089E+01       4 A         1 A         1 A   
4.99999 eV    1.619E+00  2.242E+01       4 A         1 A         1 A   
5.49999 eV    1.698E+00  2.390E+01       4 A         2 A         1 A   
