 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Aluminum.txt

 Ion = Strontium [38] , Mass = 93.915 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    8.284E-01  8.007E+00       2 A         1 A         1 A   
    1.2 eV    8.284E-01  8.511E+00       2 A         1 A         1 A   
    1.3 eV    8.623E-01  9.000E+00       2 A         1 A         1 A   
    1.4 eV    8.948E-01  9.478E+00       2 A         1 A         1 A   
    1.5 eV    9.262E-01  9.944E+00       2 A         1 A         1 A   
    1.6 eV    9.566E-01  1.040E+01       2 A         1 A         1 A   
    1.7 eV    9.860E-01  1.085E+01       2 A         1 A         1 A   
    1.8 eV    1.015E+00  1.129E+01       2 A         1 A         1 A   
      2 eV    1.069E+00  1.214E+01       3 A         1 A         1 A   
   2.25 eV    1.134E+00  1.316E+01       3 A         1 A         1 A   
2.49999 eV    1.196E+00  1.415E+01       3 A         1 A         1 A   
2.74999 eV    1.254E+00  1.510E+01       3 A         1 A         1 A   
2.99999 eV    1.310E+00  1.603E+01       3 A         1 A         1 A   
3.24999 eV    1.363E+00  1.693E+01       3 A         1 A         1 A   
3.49999 eV    1.415E+00  1.780E+01       3 A         1 A         1 A   
3.74999 eV    1.464E+00  1.865E+01       3 A         1 A         1 A   
3.99999 eV    1.512E+00  1.948E+01       4 A         1 A         1 A   
4.49999 eV    1.604E+00  2.109E+01       4 A         1 A         1 A   
4.99999 eV    1.691E+00  2.264E+01       4 A         1 A         1 A   
5.49999 eV    1.774E+00  2.413E+01       4 A         2 A         1 A   
