 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in  H- C.txt

 Ion = Strontium [38] , Mass = 94.919 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.021E-01  5.067E+00       4 A         1 A           A   
    1.2 eV    6.021E-01  5.383E+00       4 A         1 A           A   
    1.3 eV    6.267E-01  5.691E+00       4 A         1 A           A   
    1.4 eV    6.503E-01  5.991E+00       4 A         1 A           A   
    1.5 eV    6.731E-01  6.284E+00       4 A         1 A           A   
    1.6 eV    6.952E-01  6.570E+00       4 A         1 A           A   
    1.7 eV    7.166E-01  6.850E+00       5 A         1 A           A   
    1.8 eV    7.374E-01  7.125E+00       5 A         1 A         1 A   
      2 eV    7.773E-01  7.659E+00       5 A         1 A         1 A   
   2.25 eV    8.244E-01  8.301E+00       5 A         1 A         1 A   
2.49999 eV    8.690E-01  8.919E+00       5 A         1 A         1 A   
2.74999 eV    9.114E-01  9.515E+00       6 A         1 A         1 A   
2.99999 eV    9.520E-01  1.009E+01       6 A         1 A         1 A   
3.24999 eV    9.908E-01  1.065E+01       6 A         1 A         1 A   
3.49999 eV    1.028E+00  1.120E+01       6 A         1 A         1 A   
3.74999 eV    1.064E+00  1.173E+01       6 A         1 A         1 A   
3.99999 eV    1.099E+00  1.225E+01       7 A         1 A         1 A   
4.49999 eV    1.166E+00  1.325E+01       7 A         1 A         1 A   
4.99999 eV    1.229E+00  1.421E+01       7 A         2 A         1 A   
5.49999 eV    1.289E+00  1.514E+01       7 A         2 A         1 A   
