 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- C.txt

 Ion = Hydrogen [1] , Mass = 2.014 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    5.001E-01  3.584E+00       2 A         2 A         1 A   
    1.2 eV    5.001E-01  3.718E+00       2 A         2 A         1 A   
    1.3 eV    5.206E-01  3.844E+00       2 A         2 A         1 A   
    1.4 eV    5.402E-01  3.963E+00       2 A         2 A         1 A   
    1.5 eV    5.592E-01  4.075E+00       2 A         2 A         1 A   
    1.6 eV    5.775E-01  4.182E+00       2 A         2 A         1 A   
    1.7 eV    5.953E-01  4.283E+00       2 A         2 A         2 A   
    1.8 eV    6.125E-01  4.380E+00       2 A         2 A         2 A   
      2 eV    6.457E-01  4.562E+00       2 A         2 A         2 A   
   2.25 eV    6.848E-01  4.769E+00       3 A         2 A         2 A   
2.49999 eV    7.219E-01  4.957E+00       3 A         3 A         2 A   
2.74999 eV    7.571E-01  5.130E+00       3 A         3 A         2 A   
2.99999 eV    7.908E-01  5.290E+00       3 A         3 A         2 A   
3.24999 eV    8.231E-01  5.438E+00       3 A         3 A         2 A   
3.49999 eV    8.542E-01  5.577E+00       3 A         3 A         2 A   
3.74999 eV    8.841E-01  5.706E+00       3 A         3 A         2 A   
3.99999 eV    9.131E-01  5.828E+00       4 A         3 A         2 A   
4.49999 eV    9.685E-01  6.051E+00       4 A         4 A         3 A   
4.99999 eV    1.021E+00  6.252E+00       4 A         4 A         3 A   
