 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 05, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Polyethylene.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 2.51%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    5.466E-01  5.763E+00       2 A         1 A         1 A   
    1.2 eV    5.466E-01  6.019E+00       2 A         1 A         1 A   
    1.3 eV    5.689E-01  6.263E+00       2 A         1 A         1 A   
    1.4 eV    5.904E-01  6.494E+00       2 A         1 A         1 A   
    1.5 eV    6.111E-01  6.716E+00       2 A         1 A         1 A   
    1.6 eV    6.312E-01  6.929E+00       2 A         1 A         1 A   
    1.7 eV    6.506E-01  7.133E+00       2 A         2 A         1 A   
    1.8 eV    6.694E-01  7.329E+00       2 A         2 A         1 A   
      2 eV    7.057E-01  7.702E+00       2 A         2 A         1 A   
   2.25 eV    7.485E-01  8.134E+00       2 A         2 A         1 A   
2.49999 eV    7.890E-01  8.534E+00       2 A         2 A         1 A   
2.74999 eV    8.275E-01  8.908E+00       2 A         2 A         1 A   
2.99999 eV    8.643E-01  9.258E+00       3 A         2 A         1 A   
3.24999 eV    8.995E-01  9.589E+00       3 A         2 A         1 A   
3.49999 eV    9.335E-01  9.901E+00       3 A         2 A         2 A   
3.74999 eV    9.663E-01  1.020E+01       3 A         2 A         2 A   
3.99999 eV    9.980E-01  1.048E+01       3 A         2 A         2 A   
4.49999 eV    1.058E+00  1.101E+01       3 A         3 A         2 A   
4.99999 eV    1.116E+00  1.149E+01       3 A         3 A         2 A   
5.49999 eV    1.170E+00  1.194E+01       4 A         3 A         2 A   
