 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in Aluminum.txt

 Ion = Molybdenum [42] , Mass = 94.906 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    8.283E-01  8.041E+00       2 A         1 A         1 A   
    1.2 eV    8.283E-01  8.548E+00       2 A         1 A         1 A   
    1.3 eV    8.622E-01  9.042E+00       2 A         1 A         1 A   
    1.4 eV    8.947E-01  9.523E+00       2 A         1 A         1 A   
    1.5 eV    9.261E-01  9.994E+00       2 A         1 A         1 A   
    1.6 eV    9.565E-01  1.045E+01       2 A         1 A         1 A   
    1.7 eV    9.859E-01  1.090E+01       2 A         1 A         1 A   
    1.8 eV    1.014E+00  1.135E+01       2 A         1 A         1 A   
      2 eV    1.069E+00  1.221E+01       3 A         1 A         1 A   
   2.25 eV    1.134E+00  1.324E+01       3 A         1 A         1 A   
2.49999 eV    1.196E+00  1.424E+01       3 A         1 A         1 A   
2.74999 eV    1.254E+00  1.520E+01       3 A         1 A         1 A   
2.99999 eV    1.310E+00  1.614E+01       3 A         1 A         1 A   
3.24999 eV    1.363E+00  1.704E+01       3 A         1 A         1 A   
3.49999 eV    1.415E+00  1.793E+01       3 A         1 A         1 A   
3.74999 eV    1.464E+00  1.879E+01       3 A         1 A         1 A   
3.99999 eV    1.512E+00  1.963E+01       3 A         1 A         1 A   
4.49999 eV    1.604E+00  2.126E+01       4 A         1 A         1 A   
4.99999 eV    1.691E+00  2.282E+01       4 A         1 A         1 A   
5.49999 eV    1.773E+00  2.433E+01       4 A         1 A         1 A   
