 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in  H- C.txt

 Ion = Molybdenum [42] , Mass = 94.906 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.052E-01  5.094E+00       4 A         1 A           A   
    1.2 eV    6.052E-01  5.413E+00       4 A         1 A           A   
    1.3 eV    6.299E-01  5.724E+00       4 A         1 A           A   
    1.4 eV    6.537E-01  6.026E+00       4 A         1 A           A   
    1.5 eV    6.767E-01  6.322E+00       4 A         1 A           A   
    1.6 eV    6.988E-01  6.611E+00       4 A         1 A           A   
    1.7 eV    7.204E-01  6.894E+00       5 A         1 A           A   
    1.8 eV    7.412E-01  7.171E+00       5 A         1 A         1 A   
      2 eV    7.813E-01  7.710E+00       5 A         1 A         1 A   
   2.25 eV    8.287E-01  8.359E+00       5 A         1 A         1 A   
2.49999 eV    8.736E-01  8.984E+00       5 A         1 A         1 A   
2.74999 eV    9.162E-01  9.587E+00       6 A         1 A         1 A   
2.99999 eV    9.569E-01  1.017E+01       6 A         1 A         1 A   
3.24999 eV    9.960E-01  1.074E+01       6 A         1 A         1 A   
3.49999 eV    1.034E+00  1.129E+01       6 A         1 A         1 A   
3.74999 eV    1.070E+00  1.183E+01       6 A         1 A         1 A   
3.99999 eV    1.105E+00  1.235E+01       7 A         1 A         1 A   
4.49999 eV    1.172E+00  1.337E+01       7 A         1 A         1 A   
4.99999 eV    1.235E+00  1.434E+01       7 A         2 A         1 A   
5.49999 eV    1.296E+00  1.528E+01       7 A         2 A         1 A   
