 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in Aluminum.txt

 Ion = Rubidium [37] , Mass = 94.929 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    7.972E-01  7.963E+00       2 A         1 A         1 A   
    1.2 eV    7.972E-01  8.463E+00       2 A         1 A         1 A   
    1.3 eV    8.298E-01  8.950E+00       2 A         1 A         1 A   
    1.4 eV    8.611E-01  9.424E+00       2 A         1 A         1 A   
    1.5 eV    8.913E-01  9.888E+00       2 A         1 A         1 A   
    1.6 eV    9.206E-01  1.034E+01       2 A         1 A         1 A   
    1.7 eV    9.489E-01  1.079E+01       2 A         1 A         1 A   
    1.8 eV    9.764E-01  1.122E+01       3 A         1 A         1 A   
      2 eV    1.029E+00  1.207E+01       3 A         1 A         1 A   
   2.25 eV    1.092E+00  1.309E+01       3 A         1 A         1 A   
2.49999 eV    1.151E+00  1.407E+01       3 A         1 A         1 A   
2.74999 eV    1.207E+00  1.501E+01       3 A         1 A         1 A   
2.99999 eV    1.261E+00  1.593E+01       3 A         1 A         1 A   
3.24999 eV    1.312E+00  1.682E+01       3 A         1 A         1 A   
3.49999 eV    1.362E+00  1.769E+01       3 A         1 A         1 A   
3.74999 eV    1.409E+00  1.854E+01       3 A         1 A         1 A   
3.99999 eV    1.456E+00  1.936E+01       4 A         1 A         1 A   
4.49999 eV    1.544E+00  2.096E+01       4 A         1 A         1 A   
4.99999 eV    1.627E+00  2.250E+01       4 A         1 A         1 A   
5.49999 eV    1.707E+00  2.398E+01       4 A         2 A         1 A   
