 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in  H- C.txt

 Ion = Rubidium [37] , Mass = 94.929 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    5.825E-01  5.059E+00       4 A         1 A           A   
    1.2 eV    5.825E-01  5.375E+00       4 A         1 A           A   
    1.3 eV    6.063E-01  5.682E+00       4 A         1 A           A   
    1.4 eV    6.292E-01  5.981E+00       4 A         1 A           A   
    1.5 eV    6.512E-01  6.273E+00       4 A         1 A           A   
    1.6 eV    6.726E-01  6.558E+00       4 A         1 A           A   
    1.7 eV    6.933E-01  6.838E+00       5 A         1 A           A   
    1.8 eV    7.134E-01  7.112E+00       5 A         1 A         1 A   
      2 eV    7.520E-01  7.644E+00       5 A         1 A         1 A   
   2.25 eV    7.976E-01  8.285E+00       5 A         1 A         1 A   
2.49999 eV    8.408E-01  8.900E+00       5 A         1 A         1 A   
2.74999 eV    8.818E-01  9.495E+00       6 A         1 A         1 A   
2.99999 eV    9.210E-01  1.007E+01       6 A         1 A         1 A   
3.24999 eV    9.586E-01  1.063E+01       6 A         1 A         1 A   
3.49999 eV    9.948E-01  1.117E+01       6 A         1 A         1 A   
3.74999 eV    1.030E+00  1.170E+01       6 A         1 A         1 A   
3.99999 eV    1.063E+00  1.222E+01       7 A         1 A         1 A   
4.49999 eV    1.128E+00  1.322E+01       7 A         1 A         1 A   
4.99999 eV    1.189E+00  1.418E+01       7 A         2 A         1 A   
5.49999 eV    1.247E+00  1.510E+01       8 A         2 A         1 A   
