 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Aluminum.txt

 Ion = Strontium [38] , Mass = 95.923 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    8.197E-01  7.952E+00       2 A         1 A         1 A   
    1.2 eV    8.197E-01  8.452E+00       2 A         1 A         1 A   
    1.3 eV    8.532E-01  8.939E+00       2 A         1 A         1 A   
    1.4 eV    8.854E-01  9.414E+00       2 A         1 A         1 A   
    1.5 eV    9.165E-01  9.877E+00       2 A         1 A         1 A   
    1.6 eV    9.465E-01  1.033E+01       2 A         1 A         1 A   
    1.7 eV    9.757E-01  1.077E+01       2 A         1 A         1 A   
    1.8 eV    1.004E+00  1.121E+01       3 A         1 A         1 A   
      2 eV    1.058E+00  1.206E+01       3 A         1 A         1 A   
   2.25 eV    1.122E+00  1.308E+01       3 A         1 A         1 A   
2.49999 eV    1.183E+00  1.406E+01       3 A         1 A         1 A   
2.74999 eV    1.241E+00  1.501E+01       3 A         1 A         1 A   
2.99999 eV    1.296E+00  1.592E+01       3 A         1 A         1 A   
3.24999 eV    1.349E+00  1.682E+01       3 A         1 A         1 A   
3.49999 eV    1.400E+00  1.768E+01       3 A         1 A         1 A   
3.74999 eV    1.449E+00  1.853E+01       3 A         1 A         1 A   
3.99999 eV    1.497E+00  1.936E+01       4 A         1 A         1 A   
4.49999 eV    1.587E+00  2.096E+01       4 A         1 A         1 A   
4.99999 eV    1.673E+00  2.249E+01       4 A         1 A         1 A   
5.49999 eV    1.755E+00  2.398E+01       4 A         2 A         1 A   
